date,open,high,low,close,volume
2026-06-23,63952.7930,64196.5625,61893.2070,62668.0195,29608942370
2026-06-24,62663.0312,63097.7578,59029.8555,60995.1328,42644106535
2026-06-25,60992.0703,61868.9062,58075.9219,59721.6758,40625024718
2026-06-26,59712.0547,60647.1875,58269.1250,60016.4297,41502864671
2026-06-27,60016.3125,60835.0469,59794.6211,59940.0977,15099836554
2026-06-28,59940.3516,60432.7070,58879.6328,59532.3398,16282230874
2026-06-29,59522.7891,60682.3398,58856.1875,60138.3789,30829983083
2026-06-30,60136.4531,60173.2188,58111.6719,58558.8594,32747419391
2026-07-01,58562.4453,61223.7695,57747.7656,60003.7578,37904450118
2026-07-02,60004.7695,62117.8750,59532.3242,61485.3008,40109297349
2026-07-03,61492.0664,62879.0078,61176.7227,62544.1992,26131813598
2026-07-04,62545.1289,63398.4102,62287.5859,63088.3047,18608397613
2026-07-05,63089.0586,63935.8477,62413.9922,63547.8828,18267466154
2026-07-06,63551.0156,64597.5703,61275.8281,63995.0156,36552222303
2026-07-07,63994.5977,64257.6328,62623.9336,63297.3945,31026493556
2026-07-08,63293.5195,63706.8867,61492.6484,62257.5742,27349235354
2026-07-09,62257.3164,63422.9414,61645.7539,63193.1484,26546256117
2026-07-10,63194.3594,64658.9688,62902.0625,64127.1406,27450201269
2026-07-11,64127.9688,64445.4609,63785.6211,63802.0273,13954689047
2026-07-12,63791.4023,64243.1328,63606.8242,63758.2188,19043437787
2026-07-13,63757.1719,64340.8828,61769.0000,62239.1211,37650044790
2026-07-14,62238.5859,65046.1328,62207.5234,64956.1133,29841287318
2026-07-15,64959.8086,65507.5938,64442.8203,64712.3750,27029791676
2026-07-16,64713.2969,64931.8555,63701.8047,63789.2812,27232426674
2026-07-17,63789.9102,64332.0195,62489.4531,63899.4609,27280236800
2026-07-18,63899.1797,64816.5039,63845.0156,64796.6016,14162542470
2026-07-19,64799.2773,64909.8867,64250.9141,64690.8047,15000653941
2026-07-20,64684.4180,65735.7188,63720.3906,65230.0273,30988932408
2026-07-21,65228.8711,66910.0625,65113.6562,66505.1250,29554470321
2026-07-22,66506.7891,66694.6484,65514.1758,66100.7969,28142272410
2026-07-23,66100.1328,66282.3828,64610.6094,65044.8125,24364433538
2026-07-24,65044.9570,65760.4844,63686.0352,64098.4961,25917559237
2026-07-25,64098.4922,64386.0625,63753.0273,64311.8125,13817493398
2026-07-26,64311.7852,65503.7695,64233.4531,65340.3008,14301494281
2026-07-27,65340.5898,65658.3359,63562.4844,63724.8984,26183821002
2026-07-28,63723.4883,64026.9219,62714.8047,63871.3633,24128738898
2026-07-29,63871.3945,64638.6953,63206.2109,63908.1680,28611167472
2026-07-30,63908.6250,65071.4453,63533.9062,64725.3086,26250039650
2026-07-31,64723.9688,65328.1836,62410.8672,62813.7461,30439749629
2026-08-01,62813.6641,63091.5977,62233.0117,62763.3203,13553286543
2026-08-02,62763.4453,63714.6133,62745.2539,63482.0000,15901776708
2026-08-03,63485.4414,64020.3242,62226.5781,63460.8984,26038889824
2026-08-04,63458.4102,64466.9375,63277.6836,64055.9531,23662357784
2026-08-05,64054.8789,64954.3477,63829.7188,64597.5000,23568584891
2026-08-06,64595.4492,64934.4922,64098.4766,64262.1133,18529402711
2026-08-07,64257.4883,65330.6094,64113.2734,64880.1914,22165720102
2026-08-08,64882.5469,65140.4805,64797.1133,64904.6875,12350094271
2026-08-09,64906.5508,65401.6914,64677.6016,64844.8867,13234538380
2026-08-10,64845.3828,65321.8398,63752.5664,63910.5859,22384770392
2026-08-11,63910.1758,64433.6797,63185.4727,63551.8750,20824820662
2026-08-12,63551.8711,64381.0781,63251.1133,63402.4336,23063864553
2026-08-13,63404.4258,63926.3320,62799.2891,63402.1719,18765583756
2026-08-14,63402.0898,63551.5625,62487.6992,62975.5938,20280053024
2026-08-15,62974.3359,63119.1328,62850.9609,63024.3203,10033057106
2026-08-16,63023.4219,63310.7773,62648.5742,62818.6523,9078986635
2026-08-17,62819.3789,64547.8477,62687.1016,64506.2539,21555405073
2026-08-18,64506.5234,64987.7109,63980.3242,64680.7109,18728001793
2026-08-19,64680.0469,69996.9531,64111.0703,69266.1875,46228098443
2026-08-20,69268.2500,73369.8047,68867.5312,73032.7578,55444322363
2026-08-22,78326.9688,78767.3438,77018.3672,77177.3516,77606821888
