date,open,high,low,close,volume
2026-05-25,17.9100,17.9100,16.3900,16.7000,0
2026-05-26,16.7000,16.9600,15.3600,16.1300,0
2026-05-27,16.1300,16.3300,14.7000,14.9800,0
2026-05-29,14.9800,16.5500,14.5900,16.1900,0
2026-06-01,16.1900,16.9200,13.9100,16.5400,0
2026-06-02,16.5400,16.5400,15.1200,15.3600,0
2026-06-03,15.3600,16.9800,14.8500,16.2800,0
2026-06-04,16.2800,16.4100,15.5300,15.8900,0
2026-06-05,15.8900,16.3700,13.4600,15.7900,0
2026-06-08,15.7900,18.4400,15.7900,17.0300,0
2026-06-09,17.0300,17.0300,15.5200,15.5800,0
2026-06-10,15.5800,15.8500,14.9000,15.6300,0
2026-06-11,15.6300,15.9500,15.1200,15.6100,0
2026-06-12,15.6100,15.6100,14.4000,14.7200,0
2026-06-15,14.7200,14.7200,13.5600,14.3500,0
2026-06-16,14.3500,14.3500,13.0100,13.3600,0
2026-06-17,13.3600,13.5300,12.3500,13.1900,0
2026-06-18,13.1900,13.2300,11.9900,12.6700,0
2026-06-19,12.6700,13.6400,12.0700,12.9700,0
2026-06-22,12.9700,13.5100,12.6500,12.8400,0
2026-06-23,12.8400,14.2400,12.4300,13.9400,0
2026-06-24,13.9400,14.3000,13.3000,13.3900,0
2026-06-25,13.3900,13.3900,12.4300,13.0500,0
2026-06-29,13.0500,14.0700,12.9200,13.6100,0
2026-06-30,13.6100,13.9700,13.1500,13.6000,0
2026-07-01,13.6000,14.0700,13.1500,13.2400,0
2026-07-02,13.2400,13.2900,12.1900,12.2900,0
2026-07-03,12.2900,12.2900,11.6500,11.8000,0
2026-07-06,11.8000,12.3600,11.7000,11.8200,0
2026-07-07,11.8200,11.9400,11.0600,11.6500,0
2026-07-08,11.6500,15.1600,11.3400,14.6800,0
2026-07-09,14.6800,14.6800,13.0700,13.3600,0
2026-07-10,13.3600,13.3600,12.1300,12.2500,0
2026-07-13,12.2500,13.5200,9.4800,13.2800,0
2026-07-14,13.2800,13.8700,11.6600,13.7500,0
2026-07-15,13.7500,13.8700,13.0400,13.2700,0
2026-07-16,13.2700,13.2700,12.7800,12.8800,0
2026-07-17,12.8800,13.3500,12.8100,13.1500,0
2026-07-20,13.1500,13.8400,12.8900,12.9800,0
2026-07-21,12.9800,13.0800,12.1000,12.6000,0
2026-07-22,12.6000,13.4300,11.7300,13.2900,0
2026-07-23,13.2900,13.7400,12.9200,13.4800,0
2026-07-24,13.4800,14.7700,13.1800,14.0300,0
2026-07-27,14.0300,14.3300,12.6000,12.6600,0
2026-07-28,12.6600,12.8200,11.7200,12.5600,0
2026-07-29,12.5600,12.5600,11.5600,12.0100,0
2026-07-30,12.0100,12.3200,11.3000,12.1600,0
2026-07-31,12.1600,12.2100,11.6500,11.7600,0
2026-08-03,11.7600,12.0600,11.7000,11.9300,0
2026-08-04,11.9300,12.5500,11.4300,12.1900,0
2026-08-05,12.1900,12.6700,10.8100,12.0600,0
2026-08-06,12.0600,12.4300,10.1000,12.1600,0
2026-08-07,12.1600,12.5500,11.3000,12.1600,0
2026-08-10,12.1600,12.9200,10.8200,12.2500,0
2026-08-11,12.2500,12.4600,11.1900,11.8600,0
2026-08-12,11.8600,12.0900,11.2600,11.6900,0
2026-08-13,11.6900,12.2000,10.6500,11.4200,0
2026-08-14,11.4200,11.5600,10.8300,11.3100,0
2026-08-17,11.3100,11.7800,11.0900,11.3300,0
2026-08-18,11.3300,11.7900,10.1400,11.3900,0
2026-08-19,11.3900,11.7300,10.0600,11.3200,0
2026-08-20,11.3200,11.3200,9.3300,10.7600,0
2026-08-21,10.7600,11.3500,9.5700,11.2000,0
